Event,Column 1,Column 2,Column 3,Column 4,Column 5
Event 138712468,,,,,
Event 138712481,,,,,
Event 138712459,,,,,
Event 138712494,,,,,
Event 138712447,,,,,
Event 138712475,31.1366,,,,
Event 138712514,,,,,
Event 138712526,,,,,
Event 138712483,,,,,
Event 138712542,,,,,
Event 138712537,,,,,
Event 138712467,171.407,,,,
Event 138712541,,,,,
Event 138712484,,,,,
Event 138712543,,,,,
Event 138712562,,,,,
Event 138712510,101.093,,,,
Event 138712544,,,,,
Event 138712482,,,,,
Event 138712561,,,,,
Event 138712566,,,,,
Event 138712580,,,,,
Event 138712532,,,,,
Event 138712594,,,,,
Event 138712584,,,,,
Event 138712602,,,,,
Event 138712598,,,,,
Event 138712556,,,,,
Event 138712600,42.7211,,,,
Event 138712599,,,,,
Event 138712595,69.8766,,,,
Event 138712575,,,,,
Event 138712563,30.9472,,,,
Event 138712603,,,,,
Event 138712614,,,,,
Event 138712618,,,,,
Event 138712606,,,,,
Event 138712631,,,,,
Event 138712625,,,,,
Event 138712615,121.965,,,,
Event 138712607,,,,,
Event 138712577,,,,,
Event 138712642,37.0197,,,,
Event 138712589,,,,,
Event 138712639,,,,,
Event 138712652,,,,,
Event 138712650,,,,,
Event 138712662,74.3787,,,,
Event 138712653,,,,,
Event 138712656,55.6919,,,,
Event 138712641,127.215,,,,
Event 138712622,,,,,
Event 138712689,,,,,
Event 138712626,,,,,
Event 138712672,,,,,
Event 138712648,,,,,
Event 138712697,,,,,
Event 138712705,,,,,
Event 138712720,,,,,
Event 138712692,,,,,
Event 138712694,49.4999,,,,
Event 138712729,52.0251,,,,
Event 138712710,,,,,
Event 138712685,16.4529,,,,
Event 138712691,,,,,
Event 138712716,50.5287,,,,
Event 138712738,,,,,
Event 138712730,,,,,
Event 138712760,20.8146,,,,
Event 138712754,,,,,
Event 138712687,,,,,
Event 138712756,,,,,
Event 138712728,,,,,
Event 138712777,13.7316,,,,
Event 138712770,,,,,
Event 138712791,,,,,
Event 138712731,,,,,
Event 138712782,,,,,
Event 138712778,,,,,
Event 138712745,,,,,
Event 138712788,,,,,
Event 138712795,,,,,
Event 138712764,,,,,
Event 138712808,,,,,
Event 138712751,,,,,
Event 138712772,,,,,
Event 138712826,,,,,
Event 138712828,,,,,
Event 138712816,,,,,
Event 138712843,,,,,
Event 138712769,,,,,
Event 138712858,,,,,
Event 138712840,,,,,
Event 138712874,,,,,
Event 138712844,,,,,
Event 138712824,40.9862,,,,
Event 138712859,,,,,
Event 138712845,,,,,
Event 138712885,,,,,
Event 138712860,,,,,
Event 138712884,,,,,
Event 138712849,,,,,
Event 138712809,27.0414,,,,
Event 138712855,,,,,
Event 138712894,,,,,
Event 138712929,,,,,
Event 138712905,30.0353,,,,
Event 138712908,,,,,
Event 138712892,,,,,
Event 138712928,,,,,
Event 138712900,,,,,
Event 138712931,,,,,
Event 138712901,,,,,
Event 138712787,,,,,
Event 138712945,,,,,
Event 138712962,,,,,
Event 138712947,,,,,
Event 138712932,,,,,
Event 138712957,49.9101,,,,
Event 138712946,,,,,
Event 138712969,36.0053,,,,
Event 138712974,,,,,
Event 138712927,,,,,
Event 138712984,,,,,
Event 138712971,,,,,
Event 138713006,,,,,
Event 138712955,,,,,
Event 138712978,,,,,
Event 138713009,,,,,
Event 138712996,,,,,
Event 138713004,52.4296,,,,
Event 138712896,128.133,,,,
Event 138712893,203.121,,,,
Event 138713023,,,,,
Event 138712973,,,,,
Event 138713033,,,,,
Event 138712995,,,,,
Event 138713014,,,,,
Event 138713047,,,,,
Event 138713038,,,,,
Event 138713046,,,,,
Event 138713026,,,,,
Event 138713028,63.9503,,,,
Event 138713016,,,,,
